GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED
139829242,20100101,201001,2010,2010.0027,OPP,PROTESTER,,,,,,OPP,,,USA,CHICAGO,USA,,,,,,,,1,140,140,14,3,-6.5,2,1,2,4.96794871794872,3.0,"Chicago, Illinois, United States",US,USIL,41.85,-87.6501,423587.0,3,"Chicago, Illinois, United States",US,USIL,41.85,-87.6501,423587.0,3.0,"Chicago, Illinois, United States",US,USIL,41.85,-87.6501,423587.0,20130203
139873613,20100102,201001,2010,2010.0055,USA,MICHIGAN,USA,,,,,,,,,,,,,,,,,,1,140,140,14,3,-6.5,7,1,7,4.12249705535925,3.0,"Detroit, Michigan, United States",US,USMI,42.3314,-83.0458,1617959.0,0,,,,0.0,0.0,0.0,3.0,"Detroit, Michigan, United States",US,USMI,42.3314,-83.0458,1617959.0,20130203
139910670,20100103,201001,2010,2010.0082,OPP,ACTIVIST,,,,,,OPP,,,GOV,AUTHORITIES,,,,,,GOV,,,0,140,140,14,3,-6.5,4,1,4,4.70037987672694,3.0,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871.0,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871.0,3.0,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871.0,20130203
139910672,20100103,201001,2010,2010.0082,OPP,ACTIVIST,,,,,,OPP,,,GOV,AUTHORITIES,,,,,,GOV,,,0,140,140,14,3,-6.5,26,9,26,5.54879481630808,1.0,United States,US,US,38.0,-97.0,0.0,1,United States,US,US,38.0,-97.0,0.0,1.0,United States,US,US,38.0,-97.0,0.0,20130203
233579632,20100103,201001,2010,2010.0082,OPP,ACTIVIST,,,,,,OPP,,,GOV,AUTHORITIES,,,,,,GOV,,,0,140,140,14,3,-6.5,2,1,1,5.62700964630225,1.0,United States,US,US,38.0,-97.0,0.0,1,United States,US,US,38.0,-97.0,0.0,1.0,United States,US,US,38.0,-97.0,0.0,20130205
139973548,20100104,201001,2010,2010.011,OPP,ACTIVIST,,,,,,OPP,,,GOV,AUTHORITIES,,,,,,GOV,,,0,140,140,14,3,-6.5,6,3,6,5.35375266885539,1.0,United States,US,US,38.0,-97.0,0.0,1,United States,US,US,38.0,-97.0,0.0,1.0,United States,US,US,38.0,-97.0,0.0,20130203
139984011,20100104,201001,2010,2010.011,USA,DETROIT,USA,,,,,,,,,,,,,,,,,,0,140,140,14,3,-6.5,12,1,12,3.43457106257779,3.0,"Detroit, Texas, United States",US,USTX,33.6615,-95.2666,1355944.0,0,,,,0.0,0.0,0.0,3.0,"Detroit, Texas, United States",US,USTX,33.6615,-95.2666,1355944.0,20130203
139984012,20100104,201001,2010,2010.011,USA,DETROIT,USA,,,,,,,,,,,,,,,,,,0,140,140,14,3,-6.5,1,1,1,3.37233310392292,3.0,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871.0,0,,,,0.0,0.0,0.0,4.0,"Arhab, Amanat al `Asimah, Yemen",YM,YM26,15.406,44.2157,10643855.0,20130203
139984013,20100104,201001,2010,2010.011,USA,DETROIT,USA,,,,,,,,,,,,,,,,,,0,140,140,14,3,-6.5,186,43,186,3.72755665420545,3.0,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871.0,0,,,,0.0,0.0,0.0,1.0,Nigeria,NI,NI,10.0,8.0,0.0,20130203
139988650,20100104,201001,2010,2010.011,USA,WASHINGTON,USA,,,,,,,,USALEG,ALABAMA,USA,,,,,LEG,,,1,140,140,14,3,-6.5,9,1,9,6.42857142857143,2.0,"Alabama, United States",US,USAL,32.799,-86.8073,0.0,2,"Alabama, United States",US,USAL,32.799,-86.8073,0.0,2.0,"Alabama, United States",US,USAL,32.799,-86.8073,0.0,20130203
233582443,20100104,201001,2010,2010.011,USA,DETROIT,USA,,,,,,,,,,,,,,,,,,0,140,140,14,3,-6.5,3,1,1,5.45094152626363,3.0,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871.0,0,,,,0.0,0.0,0.0,1.0,Nigeria,NI,NI,10.0,8.0,0.0,20130205
140012791,20100105,201001,2010,2010.0137,CUB,CUBA,CUB,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,140,140,14,3,-6.5,3,1,3,5.02692294169986,3.0,"Crowley, Texas, United States",US,USTX,32.579,-97.3625,1333742.0,4,"Havana, Ciudad de La Habana, Cuba",CU,CU02,23.1319,-82.3642,-1628751.0,4.0,"Havana, Ciudad de La Habana, Cuba",CU,CU02,23.1319,-82.3642,-1628751.0,20130203
140012792,20100105,201001,2010,2010.0137,CUB,CUBA,CUB,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,140,140,14,3,-6.5,2,1,2,5.58882235528942,3.0,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871.0,4,"Havana, Ciudad de La Habana, Cuba",CU,CU02,23.1319,-82.3642,-1628751.0,4.0,"Havana, Ciudad de La Habana, Cuba",CU,CU02,23.1319,-82.3642,-1628751.0,20130203
140012793,20100105,201001,2010,2010.0137,CUB,CUBA,CUB,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,140,140,14,3,-6.5,3,2,3,6.04582741167377,3.0,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871.0,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871.0,4.0,"Havana, Ciudad de La Habana, Cuba",CU,CU02,23.1319,-82.3642,-1628751.0,20130203
140012794,20100105,201001,2010,2010.0137,CUB,CUBA,CUB,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,140,140,14,3,-6.5,6,2,6,6.04582741167377,3.0,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871.0,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871.0,3.0,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871.0,20130203
140054326,20100105,201001,2010,2010.0137,USA,CHARLOTTE,USA,,,,,,,,BUS,BANK,,,,,,BUS,,,0,140,140,14,3,-6.5,18,1,18,7.65187960176598,2.0,"North Carolina, United States",US,USNC,35.6411,-79.8431,0.0,2,"North Carolina, United States",US,USNC,35.6411,-79.8431,0.0,2.0,"North Carolina, United States",US,USNC,35.6411,-79.8431,0.0,20130203
140058364,20100105,201001,2010,2010.0137,USA,WASHINGTON,USA,,,,,,,,USALEG,UNITED STATES,USA,,,,,LEG,,,1,140,140,14,3,-6.5,1,1,1,6.85358255451713,3.0,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871.0,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871.0,3.0,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871.0,20130203
140058365,20100105,201001,2010,2010.0137,USA,WASHINGTON,USA,,,,,,,,USALEG,UNITED STATES,USA,,,,,LEG,,,1,140,140,14,3,-6.5,4,1,4,6.81114551083591,3.0,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871.0,2,"Alabama, United States",US,USAL,32.799,-86.8073,0.0,3.0,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871.0,20130203
140058366,20100105,201001,2010,2010.0137,USA,WASHINGTON,USA,,,,,,,,USALEG,UNITED STATES,USA,,,,,LEG,,,1,140,140,14,3,-6.5,5,2,5,6.3089881158417,3.0,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871.0,2,"Alabama, United States",US,USAL,32.799,-86.8073,0.0,2.0,"Alabama, United States",US,USAL,32.799,-86.8073,0.0,20130203
140058367,20100105,201001,2010,2010.0137,USA,WASHINGTON,USA,,,,,,,,USALEG,UNITED STATES,USA,,,,,LEG,,,1,140,140,14,3,-6.5,1,1,1,6.85358255451713,2.0,"Alabama, United States",US,USAL,32.799,-86.8073,0.0,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871.0,3.0,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871.0,20130203
140058368,20100105,201001,2010,2010.0137,USA,WASHINGTON,USA,,,,,,,,USALEG,ALABAMA,USA,,,,,LEG,,,1,140,140,14,3,-6.5,25,2,25,6.69366920038679,2.0,"Alabama, United States",US,USAL,32.799,-86.8073,0.0,2,"Alabama, United States",US,USAL,32.799,-86.8073,0.0,2.0,"Alabama, United States",US,USAL,32.799,-86.8073,0.0,20130203
140086922,20100106,201001,2010,2010.0164,CUB,CUBA,CUB,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,140,140,14,3,-6.5,1,1,1,5.08130081300813,3.0,"Crowley, Texas, United States",US,USTX,32.579,-97.3625,1333742.0,4,"Havana, Ciudad de La Habana, Cuba",CU,CU02,23.1319,-82.3642,-1628751.0,4.0,"Havana, Ciudad de La Habana, Cuba",CU,CU02,23.1319,-82.3642,-1628751.0,20130203
