GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED
153715923,20090101,200901,2009,2009.0027,ZAF,SOUTH AFRICAN,ZAF,,,,,,,,,,,,,,,,,,1,140,140,14,3,-6.5,3,3,3,5.4579545807616,1.0,United States,US,US,38.0,-97.0,0.0,0,,,,0.0,0.0,0.0,1.0,United States,US,US,38.0,-97.0,0.0,20130203
153790043,20090103,200901,2009,2009.0082,ISROPP,ISRAEL,ISR,,,,,OPP,,,GBR,LONDON,GBR,,,,,,,,0,140,140,14,3,-6.5,4,1,4,2.31481481481481,1.0,United States,US,US,38.0,-97.0,0.0,4,"Jamel, Mecklenburg-Vorpommern, Germany",GM,GM12,53.4833,11.5333,-1801549.0,1.0,Israel,IS,IS,31.5,34.75,0.0,20130203
153796161,20090103,200901,2009,2009.0082,OPP,OPPOSITION SUPPORTER,,,,,,OPP,,,,,,,,,,,,,1,140,140,14,3,-6.5,27,3,27,8.40071180572664,3.0,"James Madison University, Virginia, United States",US,USVA,38.4381,-78.8731,1485153.0,0,,,,0.0,0.0,0.0,3.0,"James Madison University, Virginia, United States",US,USVA,38.4381,-78.8731,1485153.0,20130203
153806696,20090103,200901,2009,2009.0082,USA,UNITED STATES,USA,,,,,,,,ISR,ISRAEL,ISR,,,,,,,,0,140,140,14,3,-6.5,4,4,4,3.13005438079887,1.0,United States,US,US,38.0,-97.0,0.0,4,"Tel Aviv, Tel Aviv, Israel",IS,IS05,32.0667,34.7667,-781545.0,4.0,"New Delhi, Delhi, India",IN,IN07,28.6,77.2,-2106102.0,20130203
153806697,20090103,200901,2009,2009.0082,USA,UNITED STATES,USA,,,,,,,,ISR,ISRAELI,ISR,,,,,,,,1,140,140,14,3,-6.5,8,1,8,2.11864406779661,1.0,United States,US,US,38.0,-97.0,0.0,1,Israel,IS,IS,31.5,34.75,0.0,1.0,Israel,IS,IS,31.5,34.75,0.0,20130203
153813900,20090104,200901,2009,2009.011,AFR,AFRICA,AFR,,,,,,,,AFRLEG,AFRICA,AFR,,,,,LEG,,,1,140,140,14,3,-6.5,2,1,2,6.98324022346369,1.0,United States,US,US,38.0,-97.0,0.0,1,United States,US,US,38.0,-97.0,0.0,1.0,United States,US,US,38.0,-97.0,0.0,20130203
153814678,20090104,200901,2009,2009.011,AUS,AUSTRALIA,AUS,,,,,,,,AFRLEG,AFRICA,AFR,,,,,LEG,,,1,140,140,14,3,-6.5,4,2,4,7.11279002816639,1.0,United States,US,US,38.0,-97.0,0.0,1,United States,US,US,38.0,-97.0,0.0,1.0,United States,US,US,38.0,-97.0,0.0,20130203
153836752,20090104,200901,2009,2009.011,JEWCVL,JEWISH,,,,JEW,,CVL,,,AFRLEG,AFRICA,AFR,,,,,LEG,,,1,140,140,14,3,-6.5,15,3,15,7.06960675993215,1.0,United States,US,US,38.0,-97.0,0.0,1,United States,US,US,38.0,-97.0,0.0,1.0,United States,US,US,38.0,-97.0,0.0,20130203
153843780,20090104,200901,2009,2009.011,OPP,OPPOSITION SUPPORTER,,,,,,OPP,,,,,,,,,,,,,1,140,140,14,3,-6.5,9,1,9,8.21917808219178,3.0,"James Madison University, Virginia, United States",US,USVA,38.4381,-78.8731,1485153.0,0,,,,0.0,0.0,0.0,3.0,"James Madison University, Virginia, United States",US,USVA,38.4381,-78.8731,1485153.0,20130203
153856740,20090104,200901,2009,2009.011,USAGOV,UNITED STATES,USA,,,,,GOV,,,LBNCOP,LEBANON,LBN,,,,,COP,,,0,140,140,14,3,-6.5,4,3,4,4.90406314954719,1.0,United States,US,US,38.0,-97.0,0.0,4,"Beirut, Beyrouth, Lebanon",LE,LE04,33.8719,35.5097,-801546.0,4.0,"Beirut, Beyrouth, Lebanon",LE,LE04,33.8719,35.5097,-801547.0,20130203
