GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
962225451,20210101,202101,2021,2021.0027,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,140,140,14,3,-6.5,62,7,62,-6.64353190668981,1,United States,US,US,39.828175,-98.5795,US,0,,,,,,,1,United States,US,US,39.828175,-98.5795,US,20210101,https://www.insightnews.com/news/metro/body-cam-footage-of-mpd-involved-shooting-released/article_013ec6de-4bba-11eb-b619-87a2ea37714a.html
962233383,20210101,202101,2021,2021.0027,CVL,RESIDENTS,,,,,,CVL,,,USA,UNITED STATES,USA,,,,,,,,1,140,140,14,3,-6.5,8,1,8,0.664451827242525,3,"Palm Beach County, Florida, United States",US,USFL,26.6503,-80.4498,295761,3,"Palm Beach County, Florida, United States",US,USFL,26.6503,-80.4498,295761,3,"Palm Beach County, Florida, United States",US,USFL,26.6503,-80.4498,295761,20210101,https://www.wflx.com/2020/12/31/palm-beach-county-officials-ask-patience-during-vaccine-rollout/
962290054,20210101,202101,2021,2021.0027,OPP,PROTESTER,,,,,,OPP,,,COP,POLICE,,,,,,COP,,,1,140,140,14,3,-6.5,50,5,50,-5.85772122614228,1,United States,US,US,39.828175,-98.5795,US,1,United States,US,US,39.828175,-98.5795,US,1,United States,US,US,39.828175,-98.5795,US,20210101,https://www.sfgate.com/news/article/Police-arrest-2-protesters-on-New-Year-s-Eve-in-15840080.php
962291952,20210101,202101,2021,2021.0027,OPP,PROTESTER,,,,,,OPP,,,COP,POLICE,,,,,,COP,,,1,140,140,14,3,-6.5,10,1,10,-5.79150579150579,3,"Seattle, Washington, United States",US,USWA,47.6062,-122.332,1512650,3,"Seattle, Washington, United States",US,USWA,47.6062,-122.332,1512650,3,"Seattle, Washington, United States",US,USWA,47.6062,-122.332,1512650,20210101,https://www.washingtontimes.com/news/2021/jan/1/police-arrest-2-protesters-on-new-years-eve-in-sea/
962300686,20210101,202101,2021,2021.0027,LEG,CONGRESS,,,,,,LEG,,,COP,POLICE,,,,,,COP,,,1,140,140,14,3,-6.5,20,2,20,-5.71300958258892,3,"Congress Plaza, Illinois, United States",US,USIL,41.8756,-87.6212,1826083,3,"Congress Plaza, Illinois, United States",US,USIL,41.8756,-87.6212,1826083,3,"Congress Plaza, Illinois, United States",US,USIL,41.8756,-87.6212,1826083,20210101,https://chicago.suntimes.com/news/2021/1/1/22209332/new-years-eve-congress-hotel-party-coronavirus-covid-19
962302195,20210101,202101,2021,2021.0027,LEG,CONGRESS,,,,,,LEG,,,USACOP,CHICAGO,USA,,,,,COP,,,1,140,140,14,3,-6.5,10,1,10,-3.94736842105263,3,"South Elgin, Illinois, United States",US,USIL,41.9942,-88.2923,418747,3,"South Elgin, Illinois, United States",US,USIL,41.9942,-88.2923,418747,3,"South Elgin, Illinois, United States",US,USIL,41.9942,-88.2923,418747,20210101,https://abc7chicago.com/crowded-congress-hotel-room-dispersed-by-cpd-new-years-eve/9259059/
962310908,20210101,202101,2021,2021.0027,USA,MISSOURI,USA,,,,,,,,CVL,ELECTOR,,,,,,CVL,,,1,140,140,14,3,-6.5,5,1,5,-3.05343511450381,2,"Texas, United States",US,USTX,31.106,-97.6475,TX,2,"Texas, United States",US,USTX,31.106,-97.6475,TX,2,"Texas, United States",US,USTX,31.106,-97.6475,TX,20210101,https://www1.cbn.com/cbnnews/politics/2021/january/pence-asks-judge-to-toss-case-that-tries-to-expand-vice-presidential-power-to-reject-state-electors
962324148,20210102,202101,2021,2021.0055,LEG,CONGRESS,,,,,,LEG,,,USACOP,CHICAGO,USA,,,,,COP,,,1,140,140,14,3,-6.5,10,1,10,-3.94736842105263,3,"South Elgin, Illinois, United States",US,USIL,41.9942,-88.2923,418747,3,"South Elgin, Illinois, United States",US,USIL,41.9942,-88.2923,418747,3,"South Elgin, Illinois, United States",US,USIL,41.9942,-88.2923,418747,20210102,https://abc7chicago.com/chicago-police-congress-hotel-new-years-eve-covid-19/9259059/
962324447,20210102,202101,2021,2021.0055,USA,SAN FRANCISCO,USA,,,,,,,,GOV,CONSULATE,,,,,,GOV,,,0,140,140,14,3,-6.5,8,1,8,-3.26086956521739,3,"San Francisco, California, United States",US,USCA,37.7749,-122.419,277593,3,"San Francisco, California, United States",US,USCA,37.7749,-122.419,277593,3,"San Francisco, California, United States",US,USCA,37.7749,-122.419,277593,20210102,https://www.sikh24.com/2021/01/02/latest-developments-with-21-updates-friday-1st-jan-be-informed-be-active/
962361254,20210102,202101,2021,2021.0055,USA,WASHINGTON,USA,,,,,,,,,,,,,,,,,,0,140,140,14,3,-6.5,12,1,12,-0.46838407494145,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,0,,,,,,,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,20210102,https://brazilbusiness.einnews.com/pr_news/533903234/forcethevote-protests-in-wash-d-c-today-and-sunday-demand-that-house-progressives-stand-up-for-medicare-for-all
962372781,20210102,202101,2021,2021.0055,OPP,PROTESTER,,,,,,OPP,,,COP,POLICE,,,,,,COP,,,0,140,140,14,3,-6.5,10,1,10,-6.9883527454243,3,"Capitol Hill, Oregon, United States",US,USOR,45.4654,-122.698,1118596,3,"Capitol Hill, Oregon, United States",US,USOR,45.4654,-122.698,1118596,3,"Capitol Hill, Oregon, United States",US,USOR,45.4654,-122.698,1118596,20210102,https://lmtribune.com/northwest/briefly/article_94667480-e97e-5d77-894a-ed8d4be909f0.html
962411491,20210102,202101,2021,2021.0055,USA,MIAMI,USA,,,,,,,,,,,,,,,,,,1,140,140,14,3,-6.5,6,1,6,-3.22580645161291,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20210102,https://www.local10.com/news/local/2021/01/02/protestors-march-to-sen-marco-rubios-home-demanding-he-reject-electoral-college-results/
962425852,20210103,202101,2021,2021.0082,USA,UNITED STATES,USA,,,,,,,,COP,POLICE,,,,,,COP,,,1,140,140,14,3,-6.5,8,2,8,-3.08747855917667,3,"Concord River, Massachusetts, United States",US,USMA,42.6465,-71.3026,619300,3,"Concord River, Massachusetts, United States",US,USMA,42.6465,-71.3026,619300,3,"Concord River, Massachusetts, United States",US,USMA,42.6465,-71.3026,619300,20210103,https://www.necn.com/news/local/suspect-still-missing-after-jumping-into-river-to-escape-lowell-police-his-family-demands-answers/2380665/
962435975,20210103,202101,2021,2021.0082,USA,LOS ANGELES,USA,,,,,,,,COP,POLICE,,,,,,COP,,,1,140,140,14,3,-6.5,6,1,6,0.0,3,"Los Angeles, California, United States",US,USCA,34.0522,-118.244,1662328,3,"Los Angeles, California, United States",US,USCA,34.0522,-118.244,1662328,3,"Los Angeles, California, United States",US,USCA,34.0522,-118.244,1662328,20210103,https://www.nytimes.com/2021/01/02/world/los-angeles-covid-coronavirus-surge.html
962435976,20210103,202101,2021,2021.0082,USA,UNITED STATES,USA,,,,,,,,COP,POLICE,,,,,,COP,,,1,140,140,14,3,-6.5,1,1,1,0.0,3,"Los Angeles, California, United States",US,USCA,34.0522,-118.244,1662328,3,"Los Angeles County, California, United States",US,USCA,34.3667,-118.201,277283,3,"Los Angeles County, California, United States",US,USCA,34.3667,-118.201,277283,20210103,https://www.nytimes.com/2021/01/02/world/los-angeles-covid-coronavirus-surge.html
962457305,20210103,202101,2021,2021.0082,COP,POLICE,,,,,,COP,,,LEG,LAWMAKER,,,,,,LEG,,,0,140,140,14,3,-6.5,10,1,10,-4.05479452054794,2,"Connecticut, United States",US,USCT,41.5834,-72.7622,CT,2,"Connecticut, United States",US,USCT,41.5834,-72.7622,CT,2,"Connecticut, United States",US,USCT,41.5834,-72.7622,CT,20210103,https://www.nancyonnorwalk.com/2020-in-connecticut-a-year-no-one-wants-to-review/
962460770,20210103,202101,2021,2021.0082,USA,WASHINGTON,USA,,,,,,,,,,,,,,,,,,0,140,140,14,3,-6.5,2,1,2,-0.44444444444444,3,"Capitol Hill, District of Columbia, United States",US,USDC,38.889,-77.0003,529313,0,,,,,,,3,"Capitol Hill, District of Columbia, United States",US,USDC,38.889,-77.0003,529313,20210103,https://uspolitics.einnews.com/pr_news/533942398/forcethevote-protests-in-wash-d-c-today-and-sunday-demand-that-house-progressives-stand-up-for-medicare-for-all
