GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
719078388,20180101,201801,2018,2018.0027,GOV,ADMINISTRATION,,,,,,GOV,,,,,,,,,,,,,1,140,140,14,3,-6.5,6,1,6,-4.64135021097046,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,0,,,,,,,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,20180101,https://finance.yahoo.com/news/donald-trump-unexpectedly-fired-everyone-184545023.html
719078788,20180101,201801,2018,2018.0027,USAGOV,UNITED STATES,USA,,,,,GOV,,,,,,,,,,,,,1,140,140,14,3,-6.5,4,1,4,-4.64135021097046,3,"White House, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,0,,,,,,,3,"White House, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,20180101,https://finance.yahoo.com/news/donald-trump-unexpectedly-fired-everyone-184545023.html
719086101,20180101,201801,2018,2018.0027,JUD,FEDERAL COURT,,,,,,JUD,,,GOV,PRESIDENT,,,,,,GOV,,,0,140,140,14,3,-6.5,3,1,3,-4.04580152671755,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,20180101,https://kaplanherald.com/2018/01/01/5-causes-michael-flynns-responsible-plea-is-such-an-enormous-deal/
719086108,20180101,201801,2018,2018.0027,JUD,FEDERAL COURT,,,,,,JUD,,,RUS,RUSSIA,RUS,,,,,,,,0,140,140,14,3,-6.5,1,1,1,-4.04580152671755,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,4,"Kremlin, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,4,"Kremlin, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,20180101,https://kaplanherald.com/2018/01/01/5-causes-michael-flynns-responsible-plea-is-such-an-enormous-deal/
719086563,20180101,201801,2018,2018.0027,USA,UNITED STATES,USA,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,0,140,140,14,3,-6.5,2,1,2,-4.04580152671755,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,4,"Kremlin, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,4,"Kremlin, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,20180101,https://kaplanherald.com/2018/01/01/5-causes-michael-flynns-responsible-plea-is-such-an-enormous-deal/
719109051,20180101,201801,2018,2018.0027,USA,THE US,USA,,,,,,,,,,,,,,,,,,1,140,140,14,3,-6.5,10,1,10,-2.03619909502262,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,0,,,,,,,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,20180101,http://www.mirror.co.uk/news/world-news/retired-fighter-jet-pilot-backs-11779386
719179717,20180102,201801,2018,2018.0055,OPP,PROTESTER,,,,,,OPP,,,GOV,GOVERNOR,,,,,,GOV,,,1,140,140,14,3,-6.5,10,1,10,-1.97368421052631,3,"Nassau County, New York, United States",US,USNY,40.7507,-73.5829,974128,3,"Nassau County, New York, United States",US,USNY,40.7507,-73.5829,974128,3,"Nassau County, New York, United States",US,USNY,40.7507,-73.5829,974128,20180102,http://wnyt.com/news/protesters-governors-mansion-albany/4726750/?cat=10114
719204115,20180102,201801,2018,2018.0055,USA,UNITED STATES,USA,,,,,,,,USAOPP,UNITED STATES,USA,,,,,OPP,,,0,140,140,14,3,-6.5,1,1,1,-4.42477876106195,1,United States,US,US,39.828175,-98.5795,US,1,United States,US,US,39.828175,-98.5795,US,4,"Dorud, Lorestan, Iran",IR,IR23,33.4934,49.075,-3061548,20180102,http://www.wnd.com/2018/01/american-protesters-have-it-good/
719204116,20180102,201801,2018,2018.0055,USA,AMERICAN,USA,,,,,,,,USAOPP,AMERICAN,USA,,,,,OPP,,,0,140,140,14,3,-6.5,13,2,13,-4.92217959032118,1,United States,US,US,39.828175,-98.5795,US,1,United States,US,US,39.828175,-98.5795,US,1,United States,US,US,39.828175,-98.5795,US,20180102,http://www.wnd.com/2018/01/american-protesters-have-it-good/
719204159,20180102,201801,2018,2018.0055,USAOPP,UNITED STATES,USA,,,,,OPP,,,USA,AMERICAN,USA,,,,,,,,0,140,140,14,3,-6.5,2,2,2,-4.92217959032118,1,United States,US,US,39.828175,-98.5795,US,1,United States,US,US,39.828175,-98.5795,US,4,"Dorud, Lorestan, Iran",IR,IR23,33.4934,49.075,-3061548,20180102,http://www.wnd.com/2018/01/american-protesters-have-it-good/
719204160,20180102,201801,2018,2018.0055,USAOPP,UNITED STATES,USA,,,,,OPP,,,USA,AMERICAN,USA,,,,,,,,0,140,140,14,3,-6.5,2,2,2,-4.92217959032118,1,United States,US,US,39.828175,-98.5795,US,1,United States,US,US,39.828175,-98.5795,US,1,United States,US,US,39.828175,-98.5795,US,20180102,http://www.wnd.com/2018/01/american-protesters-have-it-good/
719246529,20180102,201801,2018,2018.0055,JEW,JEWISH,,,,JEW,,,,,USA,UNITED STATES,USA,,,,,,,,0,140,140,14,3,-6.5,2,1,2,-5.41002277904328,2,"Virginia, United States",US,USVA,37.768,-78.2057,VA,2,"Virginia, United States",US,USVA,37.768,-78.2057,VA,2,"Virginia, United States",US,USVA,37.768,-78.2057,VA,20180102,https://www.rappler.com/technology/features/192741-facebook&rsquo
719246711,20180102,201801,2018,2018.0055,NGOUSAJEW,ANTI DEFAMATION LEAGUE,USA,,,JEW,,NGO,,,USA,UNITED STATES,USA,,,,,,,,0,140,140,14,3,-6.5,2,1,2,-5.41002277904328,2,"Virginia, United States",US,USVA,37.768,-78.2057,VA,2,"Virginia, United States",US,USVA,37.768,-78.2057,VA,2,"Virginia, United States",US,USVA,37.768,-78.2057,VA,20180102,https://www.rappler.com/technology/features/192741-facebook&rsquo
719300410,20180102,201801,2018,2018.0055,USA,AMERICAN,USA,,,,,,,,AFG,AFGHANISTAN,AFG,,,,,,,,1,140,140,14,3,-6.5,1,1,1,-0.58823529411765,1,United States,US,US,39.828175,-98.5795,US,1,Iraq,IZ,IZ,33.0,44.0,IZ,1,Afghanistan,AF,AF,33.0,66.0,AF,20180102,https://blogs.timesofindia.indiatimes.com/strategic-insights/the-merchants-of-rawalpindi/
