Year,Theme
1980,Nudity
1980,Snakes
1920,Clothing and dress
1920,Dress accessories
1920,Shoes
1900,Reptile
1900,Animals
1900,Foliage
1900,Flowers
1900,Snakes
1970,Reptile
1970,Animals
1970,Foliage
1970,Flowers
1970,Snakes
1900,Animals
1900,Birds
1900,Gulls
1970,Animals
1970,Birds
1970,Gulls
1900,Figure male
1980,Figure male
1900,Reptile
1900,Animals
1900,Alligators
1900,Fragment
1900,Hand
1900,Snakes
1980,Reptile
1980,Animals
1980,Alligators
1980,Fragment
1980,Hand
1980,Snakes
1900,Animals
1900,"Staffs (Sticks, canes, etc.)"
1900,Dogs
1900,Clothing and dress
1900,Dress accessories
1980,Animals
1980,"Staffs (Sticks, canes, etc.)"
1980,Dogs
1980,Clothing and dress
1980,Dress accessories
1900,Architecture
1900,Domestic
1900,Walpi
1910,Landscapes
1910,Marshes
1910,Dream
1910,Figure group
1910,Nudity
1910,State of being
1920,Religion
1920,Saints
1920,"Bible, N.T."
1920,St. Joseph
1920,Jesus Christ
1930,Landscapes
1930,Roads
1900,Weather
1900,Boats and boating
1900,Storms
1900,Disasters
1900,Waterscapes
1900,Sea
1900,Shipwreck
1900,Women
1900,Figure female
1900,Portraits
1900,Children
1930,Women
1930,Portraits
1930,Trees
1930,Landscapes
1930,Landscapes
1930,Canyon
1940,Figure female
1940,Nudity
1910,Landscapes
1910,Night
1910,Moon
1910,Outer space
1910,Time
1910,Forests and forestry
1900,Sunset
1900,Boats and boating
1900,Architecture
1900,Time
1900,Waterscapes
1900,King Ullin's Daughter
1900,Boats and boating
1900,Coasts
1900,Literature
1900,Disasters
1900,Figure female
1900,Campbell
1900,State of being
1900,Death
1900,Drowning
1900,Waterscapes
1900,Shipwreck
1900,Figure female
1900,Nudity
1900,Furnishings
1900,Art
1900,Painters
1900,Occupations
1900,Men
1900,Portraits
1930,Landscapes
1930,Animals
1930,Farms
1930,Cattle
1930,Portraits
1900,Theater
1900,Men
1900,Portraits
1900,Entertainers
1900,Animals
1900,Donkey
1900,"Mary, Blessed Virgin, Saint"
1900,Joseph
1900,Religion
1900,Flight of Jesus Christ into Egypt
1900,"Bible, N.T."
1900,Jesus Christ
1910,Clothing and dress
1910,Men
1910,Dress accessories
1910,Portraits
1910,Hats
1900,Men
1900,Portraits
1900,Cats
1900,Animals
1900,Figure female
1900,Children
1910,Weather
1910,Landscapes
1910,Morning
1910,Time
1910,Rivers
1910,Fog
1900,Women
1900,Clothing and dress
1900,Dress accessories
1900,Portraits
1900,Hats
1900,Women
1900,Books and reading
1900,Architecture
1900,Domestic
1900,Figure group
1900,Music room
1900,Occupations
1900,Men
1900,Portraits
1900,Political
1900,Presidents
1900,Poppy
1900,Glove
1900,Figure female
1900,Clothing and dress
1900,Dress accessories
1900,Flowers
1900,Women
1900,Fans
1900,Clothing and dress
1900,Dress accessories
1900,Portraits
1900,Writers
1900,Occupations
1900,Men
1900,Journalism
1900,Portraits
1900,Publisher
1900,Women
1900,Portraits
1910,Women
1910,Portraits
1910,Occupations
1910,Men
1910,Portraits
1910,Political
1910,Presidents
1900,Weather
1900,Storms
1900,Homage
1900,"Homer, Winslow"
1900,Waterscapes
1900,Sea
1910,Figure female
1910,Tables
1910,Furnishings
1900,Landscapes
1900,Star
1900,Outer space
1900,Morning
1900,Lakes
1900,Time
1900,"Manet, Edouard"
1900,Animals
1900,Figure female
1900,Homage
1900,Parrot
1900,Birds
1900,Courting
1900,Recreation
1900,Clothing and dress
1900,Figure group
1900,Dress accessories
1900,Hats
1900,Dish
1900,Women
1900,Portraits
1900,Women
1900,Hair ornament
1900,Clothing and dress
1900,Portraits
1900,Dress accessories
1900,Diplomacy
1900,Occupations
1900,Men
1900,Portraits
1900,Political
1900,Diplomats
1910,Men
1910,Portraits
1900,Women
1900,Portraits
1900,Children
1900,Weather
1900,Landscapes
1900,Morning
1900,Time
1900,Rivers
1900,Fog
1900,Gambler
1900,Monetary
1900,Occupations
1900,Men
1900,Portraits
1900,Figure female
1900,Scarf
1900,Clothing and dress
1900,Dress accessories
1900,Women
1900,Authors
1900,Portraits
1900,Figure female
1900,Clothing and dress
1900,Dress accessories
1900,Handbag
1900,Children
1900,Women
1900,Portraits
1910,Mother and child
1910,Women
1910,Portraits
1910,Family
1910,Christina
1900,Women
1900,Clothing and dress
1900,Dress accessories
1900,Jewelry
1900,Portraits
1900,Hats
1900,Landscapes
1900,Architecture
1900,Occupations
1900,Domestic
1900,Figure group
1900,Gathering
1900,Mother and child
1900,Rites and ceremonies
1900,Clothing and dress
1900,Figure group
1900,Family
1900,Formal dress
1900,Women
1900,Portraits
1900,Trees
1900,Water
1900,Landscapes
1900,Animals
1900,Cattle
1900,Figure group
1900,Women
1900,Portraits
1900,Books and reading
1900,Figure female
1900,Children
1900,Figure female
1900,Occupations
1900,Authors
1900,Aristocracy (Social class)
1910,Landscapes
1910,Gardens
1920,Landscapes
1930,Landscapes
1900,Artists' tools
1900,Art tool
1930,Art
1930,Occupations
1930,Men
1930,Collector
1930,Portraits
1930,Memory
1930,Figure group
1930,Allegory
1980,Memory
1980,Figure group
1980,Allegory
1920,Memory
1920,Allegory
1970,Memory
1970,Allegory
1920,Animals
1920,Swan
1920,Birds
1910,Animals
1910,Swan
1910,Birds
1900,Memory
1900,Allegory
1970,Memory
1970,Allegory
1920,Vase
1900,Architecture
1900,Religion
1900,Church buildings
1990,Architecture
1990,Religion
1990,Church buildings
1900,Reptile
1900,Animals
1900,Lizards
1970,Reptile
1970,Animals
1970,Lizards
1900,Vase
1970,Vase
1920,Animals
1920,Birds
1920,Ducks
1900,Animals
1900,Birds
1900,Ducks
1900,Animals
1900,Birds
1900,Ducks
1970,Animals
1970,Birds
1970,Ducks
1920,Animals
1920,Owl
1920,Birds
1900,Animals
1900,Owl
1900,Birds
1900,Animals
1900,Birds
1900,Ducks
1980,Animals
1980,Birds
1980,Ducks
1920,Animals
1920,Birds
1920,Ducks
1900,Animals
1900,Birds
1900,Ducks
1940,Frogs
1940,Animals
1940,Amphibians
1900,Frogs
1900,Animals
1900,Amphibians
1980,Frogs
1980,Animals
1980,Amphibians
1900,Figure female
1900,Lamps
1900,Furnishings
1920,Stove
1920,Furnishings
1900,Sailing ships
1900,Boats and boating
1900,Architecture
1900,Figure female
1900,Lamps
1900,Furnishings
1920,Trees
1920,Landscapes
1920,Oak tree
1900,Leaves
1900,Animals
1900,Foliage
1900,Birds
1910,Commercial
1910,Restaurant
1910,Architecture
1900,Commercial
1900,Restaurant
1900,Architecture
1930,Animals
1930,Fishes
1930,Animals
1930,Fishes
1940,Animals
1940,Fishes
1920,Musical instruments
1920,Music
1920,Figure male
1920,Entertainers
1900,Musical instruments
1900,Music
1900,Figure male
1900,Entertainers
1910,Landscapes
1910,Architecture
1910,Florence
1910,Gate
1910,Detail
1920,Animals
1920,Fishes
1900,Animals
1900,Fishes
1980,Animals
1980,Fishes
1900,Animals
1900,Fishes
1980,Animals
1980,Fishes
1900,Animals
1900,Fishes
1900,Sturgeon
1980,Animals
1980,Fishes
1980,Sturgeon
1900,Animals
1900,Fishes
1980,Animals
1980,Fishes
1900,Animals
1900,Fishes
1980,Animals
1980,Fishes
1900,Animals
1900,Fishes
1970,Animals
1970,Fishes
1900,Animals
1900,Fishes
1900,Sturgeon
1980,Animals
1980,Fishes
1980,Sturgeon
1900,Trees
1900,Landscapes
1900,Animals
1900,Figure female
1900,Birds
1970,Trees
1970,Landscapes
1970,Animals
1970,Figure female
1970,Birds
1900,Clothing and dress
1900,Dress accessories
1900,Shoes
1980,Clothing and dress
1980,Dress accessories
1980,Shoes
1910,Animals
1910,Architecture
1910,Figure female
1910,Parrot
1910,Birds
1900,Animals
1900,Farmers
1900,Weapons
1900,Farms
1900,Occupations
1900,State of being
1900,Mood (Psychology)
1900,Figure male
1900,Firearms
1900,Pig
1900,Worry
1960,Animals
1960,Farmers
1960,Weapons
1960,Farms
1960,Occupations
1960,State of being
1960,Mood (Psychology)
1960,Figure male
1960,Firearms
1960,Pig
1960,Worry
1920,Animals
1920,Fishes
1920,Shark
1900,Reptile
1900,Animals
1900,Architecture
1900,Masonic
1900,Domestic
1900,Monticello
1900,Windows
1900,Emblems
1900,Snakes
1900,Detail
1970,Reptile
1970,Animals
1970,Architecture
1970,Masonic
1970,Domestic
1970,Monticello
1970,Windows
1970,Emblems
1970,Snakes
1970,Detail
1900,Landscapes
1900,Autumn
1900,Architecture
1900,Domestic
1900,Plains
1900,Seasons
1900,Dwellings
1910,Roses
1910,Meditation
1910,Figure female
1910,State of being
1910,Mood (Psychology)
1910,Flowers
1930,Women
1930,Fruit
1930,Men
1930,Portraits
1910,Reptile
1910,Animals
1910,"Staffs (Sticks, canes, etc.)"
1910,Lizards
1910,Clothing and dress
1910,Religion
1910,Dress accessories
1910,"Bible, N.T."
1910,Snakes
1900,Reptile
1900,Animals
1900,Men
1900,Figure group
1900,Turtles
1900,Snakes
1900,Bears
1980,Reptile
1980,Animals
1980,Men
1980,Figure group
1980,Turtles
1980,Snakes
1980,Bears
1900,Pomona
1900,Mythology
1900,Landscapes
1900,Lakes
1900,Kayser's Pond
1920,Sculpture
1920,Containers
1910,Ceres
1910,Landscapes
1910,Monuments
1910,Versailles
1910,Mythology
1910,Statues
1920,Figure female
1910,Landscapes
1910,Architecture
1910,Farms
1910,Farmhouse
1910,Domestic
1940,Flowers
1940,Lily
1930,Figure female
1940,Flowers
1940,Botanical study
1900,Women
1900,Portraits
1900,Women
1900,Porch
1900,Architecture
1900,Figure group
1900,Detail
1990,Women
1990,Porch
1990,Architecture
1990,Figure group
1990,Detail
1930,Landscapes
1930,"New Deal, 1933-1939"
1930,Works Progress Administration
1900,Landscapes
1900,"New Deal, 1933-1939"
1900,Works Progress Administration
1960,Landscapes
1960,"New Deal, 1933-1939"
1960,Works Progress Administration
1940,Figure female
1940,Occupations
1940,Peasant
1900,Animals
1900,Architecture
1900,Farms
1900,Cattle
1900,Women
1900,Portraits
1920,Religion
1920,"Bible, N.T."
1920,Nicodemus
1920,Jesus Christ
1930,Landscapes
1930,Roads
1930,Evening
1930,Time
1920,Winged being
1920,Figure female
1920,Fantasy
1920,Triumph
1920,Allegory
1920,Flags
1910,Weather
1910,Landscapes
1910,Coasts
1910,Storms
1910,Beaches
1910,Waterscapes
1910,Water
1910,Figure female
1910,Nudity
1910,Allegory
1940,"New Deal, 1933-1939"
1940,Waterscapes
1930,"New Deal, 1933-1939"
1930,Waterscapes
1900,Men
1900,Portraits
1900,Landscapes
1900,Architecture
1900,Farms
1900,Ponds
1900,Domestic
1900,Lakes
1900,Dwellings
1900,Books and reading
1900,Persephone
1900,Mythology
1900,Demeter (Greek deity)
1910,"Mary, Blessed Virgin, Saint"
1910,Religion
1910,"Bible, N.T."
1900,Meditation
1900,Chairs
1900,State of being
1900,Mood (Psychology)
1900,Figure male
1900,Children
1900,Furnishings
1900,Female and child
1900,Sport and play
1900,Porch
1900,Architecture
1900,Recreation
1900,Figure group
1900,Bubble blowing
1900,Detail
1910,Women
1910,Clothing and dress
1910,Dress accessories
1910,Portraits
1910,Hats
1910,Figure female
1900,Women
1900,Animals
1900,Clothing and dress
1900,Dress accessories
1900,Jewelry
1900,Birds
1900,Portraits
1900,Dove
1900,Female and child
1900,Landscapes
1900,Animals
1900,Architecture
1900,Farms
1900,Occupations
1900,Figure group
1900,Sheep
1900,Animal husbandry
1900,Fence
1900,Detail
1910,Morning
1910,Summer
1910,Time
1910,Seasons
1910,Waterscapes
1920,Rites and ceremonies
1920,Holidays
1920,Christmas
1920,Animals
1920,Letters
1920,Tiger
1900,Women
1900,Clothing and dress
1900,Dress accessories
1900,Portraits
1900,Hats
1910,"Sully, Thomas"
1910,Homage
1910,Clothing and dress
1910,Dress accessories
1910,Figure male
1910,Hats
1910,Children
1900,Writers
1900,Occupations
1900,Editors
1900,Men
1900,Critic
1900,Portraits
1900,Novelists
1910,Literature
1910,Figure female
1910,Shakespeare
1910,Tempest
1910,Women
1910,Portraits
1900,Landscapes
1900,Rivers
1900,Seine River
1900,Waterscapes
1900,Landscapes
1900,Farms
1900,Figure female
1900,Homage
1900,Occupations
1900,Scythe
1900,Peasant
1900,Tools
1910,Water
1910,Path
1910,Landscapes
1910,Roads
1910,Landscapes
1910,Roads
1910,Moon
1910,Outer space
1910,Women
1910,Portraits
1910,Women
1910,Fans
1910,Hair ornament
1910,Clothing and dress
1910,Dress accessories
1910,Portraits
1910,Mercedes
1900,Women
1900,Hair ornament
1900,Clothing and dress
1900,Foliage
1900,Portraits
1900,Dress accessories
1910,Women
1910,Portraits
1900,Landscapes
1900,Coasts
1900,Rocks
1900,Waterscapes
1900,Rabbits
1900,Animals
1900,Architecture
1900,Occupations
1900,Domestic
1900,Rabbit seller
1900,Children
1900,Vendor
1900,Dwellings
1900,Figure female
1900,Landscapes
1900,Animals
1900,Architecture
1900,Ponds
1900,Domestic
1900,Lakes
1900,Birds
1900,Fence
1900,Ducks
1900,Detail
1900,Dwellings
1900,Figure female
1900,Religion
1900,Landscapes
1900,Industrialization
1900,Animals
1900,Mussel
1900,Occupations
1900,Domestic
1900,Figure group
1900,Beaches
1900,Gathering
1900,Fishing
1910,Landscapes
1910,Animals
1910,Farms
1910,Cattle
1900,Sunset
1900,Landscapes
1900,Animals
1900,Farms
1900,Cattle
1900,Dogs
1900,Figure male
1900,Time
1910,Women
1910,Hair ornament
1910,Chairs
1910,Clothing and dress
1910,Dress accessories
1910,Portraits
1910,Furnishings
1900,Women
1900,Landscapes
1900,Figure group
1900,Rivers
1920,St. Raphael
1920,Animals
1920,Fishes
1920,Religion
1920,Angels
1930,Women
1930,Portraits
1910,Tangier
1910,Architecture
1910,Figure group
1910,Cityscapes
1910,Streets
1910,Detail
1900,Men
1900,Religion
1900,Portraits
1900,"Bible, N.T."
1900,Jesus Christ
1900,Mountains
1900,Water
1900,Landscapes
1900,Figure male
1900,Time
1900,Sunrise
1930,Figure group
1930,Religion
1930,State of being
1930,Diseases
1910,Amusements
1910,Grooming
1910,Figure female
1910,Recreation
1910,Nudity
1900,Religion
1900,Saints
1900,"Bible, N.T."
1900,St. Anthony
1900,Jesus Christ
1900,Trees
1900,Landscapes
1900,Palm tree
1900,Architecture
1900,Temple
1910,Architecture
1910,Stairs
1910,Detail
1920,Uniforms
1920,Occupations
1920,Clothing and dress
1920,Men
1920,Portraits
1920,Military
1900,Animals
1900,Literature
1900,Figure female
1900,Hugo
1900,Goat
1900,Notre Dame de Paris
1920,"Mary, Blessed Virgin, Saint"
1920,Religion
1920,"Bible, N.T."
1930,Women
1930,Scarf
1930,Clothing and dress
1930,Dress accessories
1930,Portraits
1930,Profile
1940,"Art, abstract"
1940,Art
1940,Landscapes
1940,Outer space
1900,Women
1900,Portraits
1910,Quality
1910,Figure group
1910,Fortune
1910,Allegory
1920,Landscapes
1920,Boats and boating
1920,Coasts
1920,Architecture
1920,Rowboat
1940,Mountains
1940,Landscapes
1940,Rocks
1920,Boats and boating
1920,Animals
1920,Architecture
1920,Birds
1920,Waterscapes
1930,Boats and boating
1930,Animals
1930,Architecture
1930,Birds
1930,Waterscapes
1920,Water
1920,Landscapes
1920,Animals
1920,Birds
1930,Water
1930,Landscapes
1930,Animals
1930,Birds
1920,Water
1920,Landscapes
1920,Boats and boating
1920,Architecture
1920,Rowboat
1930,Water
1930,Landscapes
1930,Boats and boating
1930,Architecture
1930,Rowboat
1910,June
1910,Figure female
1910,Time
1910,Allegory
1910,Flowers
1900,Figure female
1900,Chairs
1900,Furnishings
1900,Art
1900,Occupations
1900,Men
1900,Portraits
1900,Artists
1900,Reptile
1900,Animals
1900,Snakes
1910,Animals
1910,Architecture
1910,Farms
1910,Horses
1910,Birds
1910,Chicken
1910,Detail
1920,Architecture
1940,Landscapes
1940,Thames River
1940,Rivers
1940,Architecture
1940,Religion
1940,St. Nicolas du Chardonnet
1940,Church buildings
2000,Clothing and dress
2000,Dress accessories
2000,Jewelry
1900,Fans
1900,Clothing and dress
1900,Dress accessories
1940,Toys
1940,Dolls
1930,Toys
1930,Dolls
1910,Trees
1910,Landscapes
1940,Wheel
1940,Men
1940,Figure group
1920,Religion
1920,Crucifixion
1920,"Bible, N.T."
1920,Jesus Christ
1920,Chest
1920,Animals
1920,Birds
1920,Furnishings
1900,Architecture
1900,Figure female
1900,Music
1900,Domestic
1900,Entertainers
1900,Lute
1900,Dwellings
1910,Boats and boating
1910,Art
1910,Figure female
1910,Waterscapes
1900,Emblems
1900,Odd Fellows
1910,Women
1910,Hair ornament
1910,Clothing and dress
1910,Portraits
1910,Dress accessories
1910,Children
1910,Helen
1900,Women
1900,Portraits
1910,Women
1910,Portraits
1900,Figure female
1900,Vase
1900,Flowers
1910,Men
1910,Portraits
1910,Women
1910,Occupations
1910,Portraits
1910,Aristocracy (Social class)
1910,Men
1910,Portraits
1900,Writers
1900,Architecture
1900,Occupations
1900,Domestic
1900,Men
1900,Portraits
1900,Novelists
1900,Poets
1900,Dwellings
1900,Women
1900,Landscapes
1900,Portraits
1900,Gardens
1910,Occupations
1910,Men
1910,Portraits
1910,Political
1910,Presidents
1900,Weapons
1900,Swords
1900,Figure male
1900,Children
1900,Landscapes
1900,Animals
1900,Farms
1900,Cattle
1900,Figure male
1900,Aurora
1900,Amusements
1900,Grooming
1900,Fountain
1900,Recreation
1900,Monuments
1900,Mythology
1910,Mother and child
1910,Landscapes
1910,Figure group
1910,Family
1910,Rivers
1910,Writers
1910,Occupations
1910,Authors
1910,Men
1910,Portraits
1900,Women
1900,Landscapes
1900,Portraits
1910,Women
1910,Occupations
1910,Portraits
1910,Aristocracy (Social class)
1900,Rites and ceremonies
1900,Amusements
1900,Books and reading
1900,Architecture
1900,Recreation
1900,Clothing and dress
1900,Domestic
1900,Men
1900,Writing
1900,Portraits
1900,Academic costume
1900,Mountains
1900,Landscapes
1900,Forests and forestry
1920,Amusements
1920,Recreation
1920,Clothing and dress
1920,Men
1920,Dress accessories
1920,Portraits
1920,Hats
1920,Smoking
1900,Women
1900,Portraits
1900,Women
1900,Portraits
1910,Women
1910,Portraits
1910,Architecture
1910,Domestic
1910,Men
1910,Portraits
1910,Dwellings
1900,Statesman
1900,Architecture
1900,Occupations
1900,Men
1900,Domestic
1900,Portraits
1900,Political
1900,Dwellings
1900,Women
1900,Portraits
1910,Women
1910,Portraits
1900,Women
1900,Portraits
1900,Women
1900,Portraits
1900,Musical instruments
1900,Pianos
1900,Peony
1900,Architecture
1900,Figure female
1900,Domestic
1900,Flowers
1900,Furnishings
1940,Women
1940,Art
1940,Sleep
1940,Occupations
1940,State of being
1940,Portraits
1940,Sculptors
1910,Men
1910,Portraits
1900,Women
1900,Portraits
1900,Mother and child
1900,Figure group
1900,Family
1940,Animals
1940,Horsemen and horsewomen
1940,Horses
1940,Animals
1940,Fishes
1930,Architecture
1930,Occupations
1930,Figure group
1930,Birds
1930,Service
1930,Eagles
1930,"New Deal, 1933-1939"
1930,"Works Progress Administration, Federal Art Project"
1930,Flags
1930,History
1930,Landscapes
1930,San Diego
1930,Animals
1930,Fireman
1930,Parks
1910,Architecture
1910,Castles
1910,Cityscapes
1910,Barberini Palace
1940,Trees
1940,Landscapes
1940,Animals
1940,Music
1940,Figure male
1940,Entertainers
1940,Flute
1940,Bears
1900,Animals
1900,Fishes
1990,Animals
1990,Fishes
1900,Animals
1900,Fishes
1990,Animals
1990,Fishes
1900,Animals
1900,Fishes
1920,Clocks and watches
1920,Musical instruments
1920,Harmonica
1920,Weapons
1920,Memory
1920,Tools
1920,Allegory
1920,Firearms
1920,Furnishings
1900,Clocks and watches
1900,Musical instruments
1900,Harmonica
1900,Weapons
1900,Memory
1900,Tools
1900,Allegory
1900,Firearms
1900,Furnishings
1910,Guitar
1910,Blind
1910,Figure female
1910,Music
1910,Authors
1910,State of being
1910,People with disabilities
1910,Entertainers
1910,Voice
1930,Commercial
1930,Architecture
1930,Occupations
1930,Figure group
1930,Vendor
1930,Market
1900,Portraits
1900,Family
1900,Siblings
1930,Writers
1930,Occupations
1930,Men
1930,Portraits
1930,Figure female
1900,Injustice
1900,Figure female
1900,Government
1900,Figure group
1900,Allegory
1930,Architecture
1930,Figure group
1930,Stairs
1930,Detail
1940,Commercial
1940,Architecture
1940,Signs and signboards
1940,Figure group
1940,Store
1940,Cityscapes
1910,Figure female
1910,Screen
1910,Furnishings
1980,State of being
1980,Figure male
1980,Enslaved
1920,Memory
1920,Allegory
1910,Engineering
1910,Sculpture model
1910,Nudity
1910,Figure male
1910,Allegory
1910,Arts and sciences
1900,Engineering
1900,Sculpture model
1900,Nudity
1900,Figure male
1900,Allegory
1900,Arts and sciences
1910,Le Puy
1910,Architecture
1910,Religion
1910,Cityscapes
1910,Le Puy Cathedral
1910,Church buildings
1950,Women
1950,Art
1950,Occupations
1950,Domestic
1950,Hostess
1950,Portraits
1950,Artists
1900,Amusements
1900,Recreation
1900,Chairs
1900,Figure male
1900,Furnishings
1900,Smoking
1900,Guitar
1900,Figure female
1900,Music
1900,Summer
1900,Allegory
1900,Seasons
1900,Entertainers
1910,Engineering
1910,Sculpture model
1910,Nudity
1910,Figure male
1910,Allegory
1910,Arts and sciences
1900,Engineering
1900,Sculpture model
1900,Nudity
1900,Figure male
1900,Allegory
1900,Arts and sciences
1910,Architecture
1910,Government
1910,Florence
1910,Cityscapes
1910,Tower
1900,Reptile
1900,Animals
1900,Clothing and dress
1900,Dress accessories
1900,Figure male
1900,Hats
1900,Emblems
1900,Snakes
1900,Taku
1900,Older people
1900,Men
1900,Portraits
1920,Landscapes
1920,Animals
1920,Architecture
1920,Occupations
1920,Domestic
1920,Birds
1920,Gathering
1920,Dwellings
1900,Musical instruments
1900,Pianos
1900,Architecture
1900,Figure female
1900,Music
1900,Domestic
1900,Entertainers
1900,Dwellings
1920,Glove
1920,Figure female
1920,Chairs
1920,Clothing and dress
1920,Dress accessories
1920,Hats
1920,Handbag
1920,Furnishings
1910,Figure female
1910,Dance
1910,Entertainers
1940,Women
1940,Portraits
1900,Men
1900,Portraits
1920,Landscapes
1920,Sport and play
1920,Recreation
1920,Figure group
1920,Rivers
1920,Fishing
1900,Rites and ceremonies
1900,Fire Dance
1900,Nudity
1900,Dance
1900,Figure male
1910,Commercial
1910,Lathe
1910,Stool
1910,Architecture
1910,Occupations
1910,Tools
1910,Figure male
1910,Store
1910,Axes
1910,Crafts
1910,Woodworker
1910,Furnishings
1900,Water
1900,Reliques of Ancient English Poetry
1900,Landscapes
1900,Animals
1900,Literature
1900,Percy
1900,Occupations
1900,Figure group
1900,Horses
1900,Aristocracy (Social class)
1910,Civilization
1910,Sport
1910,Occupations
1910,Figure group
1910,Allegory
1910,Wrestling
1900,Civilization
1900,Sport
1900,Occupations
1900,Figure group
1900,Allegory
1900,Wrestling
1930,Women
1930,Amusements
1930,Boats and boating
1930,Architecture
1930,Recreation
1930,Canals
1930,Gondola
1930,Figure group
1930,Strolling
1930,Cityscapes
1930,Waterscapes
1920,Women
1920,Landscapes
1920,Amusements
1920,Architecture
1920,Recreation
1920,Domestic
1920,Figure group
1920,Conversation
1920,Dwellings
1970,Occupations
1970,Men
1970,Portraits
1970,Major general
1970,Military
1930,Landscapes
1930,Cities and towns
1930,Summer
1930,Plains
1930,Cityscapes
1930,Seasons
1900,Landscapes
1900,Animals
1900,Cattle
1910,Men
1910,Portraits
1970,Occupations
1970,Men
1970,Portraits
1970,Major general
1970,Military
1900,Occupations
1900,Men
1900,Portraits
1900,Political
1900,Presidents
1950,"Mary, Blessed Virgin, Saint"
1950,Religion
1950,"Bible, N.T."
1950,Jesus Christ
1920,Education
1920,Occupations
1920,Men
1920,Portraits
1900,Trees
1900,Landscapes
1900,Religion
1900,"Bible, O.T."
1900,Oak tree
1910,Shepherd
1910,Animals
1910,Religion
1910,Sheep
1910,"Bible, N.T."
1910,Angels
1900,Female and child
1900,Landscapes
1900,Evening
1900,Imagination
1900,Figure group
1900,Nudity
1900,Time
1900,Allegory
1900,Female and child
1900,Love
1900,State of being
1900,Figure group
1900,Emotions
1910,Figure female
1910,Vase
1910,Tables
1910,Flowers
1910,Furnishings
1910,Figure female
1910,Clothing and dress
1910,Dress accessories
1910,Hats
1910,Couch
1910,Furnishings
1900,Figure female
1900,Clothing and dress
1900,Dress accessories
1900,Hats
1900,Couch
1900,Furnishings
1900,Architecture
1900,Figure female
1900,Vase
1900,Clothing and dress
1900,Domestic
1900,Bedroom
1900,Dress accessories
1900,Jewelry
1920,Amusements
1920,Meditation
1920,Architecture
1920,Recreation
1920,Figure female
1920,Domestic
1920,State of being
1920,Mood (Psychology)
1920,Magi
1920,Horsemen and horsewomen
1920,Religion
1920,"Bible, N.T."
1900,Magi
1900,Horsemen and horsewomen
1900,Religion
1900,"Bible, N.T."
1920,Religion
1920,"Bible, N.T."
1920,Jesus Christ
1900,"Mary, Blessed Virgin, Saint"
1900,Religion
1900,Crucifixion
1900,"Bible, N.T."
1900,Jesus Christ
1900,Classical dress
1900,Quality
1900,Clothing and dress
1900,Figure group
1900,Allegory
1900,History
1900,Wealth
1940,Animals
1940,Lobster
1940,Fishes
1910,Tangier
1910,Animals
1910,Architecture
1910,Cattle
1910,Figure male
1910,Cityscapes
1910,Streets
1910,Water carrier
1910,Occupations
1910,Domestic
1910,Figure male
1910,Cityscapes
1910,Streets
1940,Landscapes
1940,Monuments
1940,Statues
1940,Gardens
1900,Women
1900,Literature
1900,Figure female
1900,Priscilla
1900,Portraits
1920,Mountains
1920,Weather
1920,Black Mesa
1920,Landscapes
1920,Storms
1920,Cloud
1920,Deserts
1910,Earth
1910,Heaven
